RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
96,DK Metcalf   PIT,WR,15,8.3,8.0,9.2,18.6,BYE,15.5,5.0,11.5,0.6,3.5,4.9,9.4,3.2,14.8,11.5,4.2,,8.5,128.2
97,Nick Folk   NYJ,K,16,10.0,6.0,10.0,11.0,7.0,12.0,7.0,12.0,BYE,9.0,2.0,5.0,11.0,4.0,11.0,6.0,4.0,7.9,127.0
98,Michael Wilson   ARI,WR,16,0.5,7.1,0.5,1.5,1.6,4.4,4.0,BYE,6.1,3.4,18.5,11.8,3.6,26.2,11.4,11.2,14.9,7.9,126.7
99,Riley Patterson   MIA,K,16,0.0,11.0,3.0,10.0,7.0,10.0,6.0,10.0,8.0,7.0,11.0,BYE,14.0,13.0,5.0,3.0,8.0,7.9,126.0
100,Wan'Dale Robinson   NYG,WR,16,5.5,20.2,2.6,1.4,3.2,14.4,9.5,4.8,4.6,6.2,3.6,21.6,3.4,BYE,11.4,2.2,11.3,7.9,125.9
101,CeeDee Lamb   DAL,WR,13,11.0,11.2,0.0,,,,17.0,7.6,8.5,BYE,12.6,7.5,17.2,12.1,11.1,5.1,4.6,9.7,125.5
102,Dallas Goedert   PHI,TE,15,4.4,,9.3,15.7,7.9,17.0,1.8,14.8,BYE,4.3,2.4,2.0,2.7,7.8,19.0,9.2,6.8,8.3,125.1
103,Los Angeles Rams   LAR,DST,16,11.0,8.0,6.0,7.0,1.0,17.0,11.0,BYE,9.0,6.0,9.0,18.0,2.0,6.0,0.0,6.0,8.0,7.8,125.0
103,Minnesota Vikings   MIN,DST,16,5.0,5.0,30.0,4.0,3.0,BYE,3.0,0.0,9.0,1.0,3.0,1.0,9.0,18.0,2.0,11.0,21.0,7.8,125.0
103,Pittsburgh Steelers   PIT,DST,16,2.0,5.0,16.0,10.0,BYE,10.0,1.0,-4.0,18.0,5.0,21.0,10.0,5.0,4.0,7.0,5.0,10.0,7.8,125.0
106,Kareem Hunt   KC,RB,16,2.6,3.4,10.4,4.7,17.7,3.4,1.8,16.2,11.5,BYE,12.2,17.0,8.0,9.0,2.0,0.2,3.8,7.7,123.9
107,Kyle Monangai   CHI,RB,16,1.1,3.6,2.0,1.8,BYE,4.4,15.4,2.4,19.8,8.8,9.7,10.8,19.0,7.7,3.3,9.3,4.7,7.7,123.8
108,Michael Penix Jr.   ATL,QB,9,24.0,5.3,5.8,19.7,BYE,14.6,12.2,,22.7,11.0,7.9,,,,,,,13.7,123.3
109,Woody Marks   HOU,RB,15,0.3,5.1,3.6,23.9,2.4,BYE,9.5,11.1,2.7,14.1,5.1,6.9,6.7,13.6,9.8,,7.5,8.2,122.3
110,Denver Broncos   DEN,DST,16,14.0,0.0,9.0,10.0,7.0,13.0,5.0,6.0,5.0,14.0,8.0,BYE,4.0,11.0,7.0,4.0,5.0,7.6,122.0
111,Michael Pittman Jr.   IND,WR,16,14.0,4.0,13.3,10.1,9.9,2.0,13.8,15.5,11.5,1.9,BYE,8.7,1.3,7.9,2.6,3.2,1.6,7.6,121.3
112,Stefon Diggs   NE,WR,16,5.7,3.2,2.3,10.1,14.6,2.8,6.9,7.4,9.8,10.6,10.5,2.0,2.6,BYE,2.6,13.8,16.1,7.6,121.0
113,Quentin Johnston   LAC,WR,14,19.9,12.9,8.9,15.8,2.9,,9.0,0.0,11.3,4.2,0.0,BYE,8.3,0.8,,16.4,9.8,8.6,120.2
114,Drake London   ATL,WR,11,5.5,2.9,5.5,17.0,BYE,21.8,4.2,,29.8,18.4,11.9,,,,,2.7,0.4,10.9,120.1
115,Wil Lutz   DEN,K,16,8.0,4.0,9.0,4.0,9.0,9.0,5.0,9.0,4.0,4.0,18.0,BYE,9.0,6.0,4.0,10.0,8.0,7.5,120.0
116,DeVonta Smith   PHI,WR,16,1.6,5.3,12.0,2.9,11.4,4.9,24.3,8.4,BYE,12.9,0.8,8.9,4.8,3.7,5.0,10.2,2.5,7.5,119.6
117,DJ Moore   CHI,WR,16,5.6,4.6,8.8,3.8,BYE,5.2,5.2,7.6,19.0,0.0,2.1,18.4,2.7,-0.4,18.9,16.9,0.7,7.4,119.1
118,Chad Ryland   ARI,K,16,11.0,10.0,7.0,10.0,3.0,11.0,12.0,BYE,10.0,2.0,4.0,6.0,7.0,5.0,2.0,17.0,2.0,7.4,119.0
119,Joe Burrow   CIN,QB,7,8.8,7.0,,,,,,,,BYE,,,19.2,25.4,7.5,29.0,20.4,16.8,117.3
119,Jayden Daniels   WAS,QB,7,20.1,19.7,,,17.1,22.6,17.7,,16.2,,,BYE,,3.7,,,,16.8,117.3
121,Kyle Pitts Sr.   ATL,TE,16,5.9,3.7,3.9,13.0,BYE,1.8,6.2,5.9,3.8,3.8,1.4,2.5,8.2,9.0,34.6,11.7,1.6,7.3,117.0
122,Travis Kelce   KC,TE,16,10.7,6.1,2.6,4.8,12.1,7.8,5.4,15.9,8.6,BYE,15.1,4.4,10.5,0.8,7.0,0.6,3.6,7.2,116.0
123,New England Patriots   NE,DST,16,7.0,13.0,2.0,11.0,8.0,5.0,19.0,11.0,1.0,2.0,5.0,10.0,11.0,BYE,-2.0,5.0,7.0,7.2,115.0
123,Blake Grupe   IND,K,15,7.0,3.0,7.0,9.0,16.0,16.0,2.0,4.0,4.0,5.0,BYE,4.0,,7.0,15.0,11.0,5.0,7.7,115.0
125,Ladd McConkey   LAC,WR,16,7.4,4.8,4.1,1.1,9.9,16.0,6.7,14.8,5.6,16.7,1.3,BYE,9.9,1.2,2.0,10.3,3.1,7.2,114.9
126,Jauan Jennings   SF,WR,14,1.6,14.9,,4.4,,0.7,3.1,4.5,10.1,11.1,5.4,10.1,9.9,BYE,15.7,13.1,10.2,8.2,114.8
127,Harold Fannin Jr.   CLE,TE,16,6.6,4.8,2.5,2.5,7.3,8.1,3.6,12.4,BYE,4.4,2.6,4.4,8.3,17.4,5.0,15.5,9.0,7.2,114.4
128,Deebo Samuel Sr.   WAS,WR,15,15.6,10.4,2.9,14.1,15.6,1.4,,1.2,4.4,8.9,13.7,BYE,6.1,2.7,4.3,3.5,9.3,7.6,114.1
129,Rhamondre Stevenson   NE,RB,13,2.7,16.2,1.6,4.1,12.7,1.8,14.8,4.9,,,,1.0,8.0,BYE,7.7,15.8,22.2,8.7,113.5
130,Hunter Henry   NE,TE,16,6.6,0.9,21.0,9.9,4.6,2.7,3.3,6.7,5.1,0.9,4.5,17.5,7.3,BYE,1.8,9.5,10.9,7.1,113.2
131,Brock Bowers   LV,TE,12,10.3,3.8,5.8,4.6,,,,BYE,31.3,2.7,7.2,5.5,18.3,10.6,2.8,9.3,,9.4,112.2
132,Troy Franklin   DEN,WR,16,4.4,16.0,0.8,5.5,5.5,0.1,9.9,20.9,4.3,10.0,8.4,BYE,2.1,1.1,14.8,6.6,1.7,7.0,112.1
133,Cleveland Browns   CLE,DST,16,4.0,-1.0,13.0,1.0,7.0,0.0,25.0,9.0,BYE,5.0,17.0,16.0,1.0,2.0,2.0,2.0,9.0,7.0,112.0
133,Parker Washington   JAC,WR,15,0.0,7.6,3.4,5.9,7.6,2.9,6.2,BYE,9.0,14.9,2.0,13.1,2.6,,5.3,20.5,11.0,7.5,112.0
