RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
368,Ollie Gordon IIMIA,RB,17,7,9,32,4.6,1,20,1,1.9,0,0,57,1
370,Eric SaubertSEA,TE,11,4,7,31,7.8,0,12,0,2.8,0,0,16,2
370,KhaDarel HodgeATL,WR,12,3,10,31,10.3,0,16,0,2.6,0,0,9,2
372,Justin WatsonHOU,WR,3,3,4,30,10,0,15,0,10,0,0,14,1
372,Miles SandersDAL,RB,4,8,8,30,3.8,0,9,0,7.5,0,0,44,0
372,David Martin-RobinsonTEN,TE,17,4,6,30,7.5,1,14,0,1.8,0,0,16,3
372,Chris Rodriguez Jr.WSH,RB,13,3,4,30,10,0,18,0,2.3,0,0,26,1
372,Ben SimsMIN/GB,TE,11,3,6,30,10,0,18,0,2.7,0,0,5,2
372,Kendre MillerNO,RB,7,5,5,30,6,0,11,0,4.3,0,0,35,1
378,James MitchellCAR,TE,5,3,3,28,9.3,0,11,0,5.6,0,0,21,2
379,Deven ThompkinsATL,WR,7,3,3,27,9,0,19,0,3.9,0,0,20,1
379,Jaleel McLaughlinDEN,RB,8,4,6,27,6.8,0,17,0,3.4,0,0,39,2
379,Drew OgletreeIND,TE,15,4,6,27,6.8,1,11,0,1.8,0,0,9,2
382,Devin DuvernayCHI,WR,17,2,5,26,13,0,24,1,1.5,0,0,0,1
382,Jordan WatkinsSF,WR,4,2,3,26,13,0,19,0,6.5,0,0,1,1
384,Durham SmytheCHI,TE,17,4,6,25,6.3,0,11,0,1.5,0,0,15,1
384,Najee HarrisLAC,RB,3,3,3,25,8.3,0,11,0,8.3,0,0,15,1
384,Brian Robinson Jr.SF,RB,17,8,12,25,3.1,0,6,0,1.5,0,0,35,1
384,Jonathan MingoDAL,WR,6,1,5,25,25,0,25,1,4.2,0,0,4,1
384,Beaux CollinsNYG,WR,9,2,6,25,12.5,0,18,0,2.8,0,0,6,1
384,Tai FeltonMIN,WR,17,3,3,25,8.3,0,10,0,1.5,0,0,14,2
384,Jacoby JonesWSH,WR,1,1,1,25,25,0,25,1,25,0,0,22,1
391,Reggie GilliamBUF,FB,17,2,2,24,12,0,22,1,1.4,0,0,2,1
391,Zamir WhiteLV,RB,6,4,6,24,6,0,9,0,4,0,0,24,0
393,Tay MartinWSH,WR,3,2,2,23,11.5,0,14,0,7.7,0,0,5,1
393,Ronnie BellNO,WR,2,2,4,23,11.5,1,16,0,11.5,0,0,1,1
395,Caleb WilliamsCHI,QB,17,2,2,22,11,1,20,1,1.3,0,0,25,2
396,Trent SherfieldARI/DEN,WR,12,3,5,21,7,0,15,0,1.8,0,0,14,1
396,Cody FordCIN,OT,17,1,1,21,21,0,21,1,1.2,0,0,17,1
396,Josiah DeguaraARI,TE,12,3,5,21,7,1,8,0,1.8,0,0,5,2
396,AJ DillonPHI,RB,7,3,3,21,7,0,11,0,3,1,1,9,0
396,Connor HeywardPIT,FB,17,3,4,21,7,1,12,0,1.2,0,0,5,1
396,Nikko RemigioKC,WR,14,1,1,21,21,0,21,1,1.5,0,0,3,1
396,Raheim SandersCLE,RB,4,3,4,21,7,0,10,0,5.3,0,0,14,0
403,Britain CoveyPHI,WR,6,2,4,20,10,0,12,0,3.3,0,0,20,2
403,Jake BoboSEA,WR,11,2,2,20,10,0,17,0,1.8,0,0,6,1
403,Jared WayneHOU,WR,1,2,2,20,10,0,17,0,20,0,0,3,1
403,Shane ZylstraDET,TE,6,3,5,20,6.7,0,11,0,3.3,0,0,2,1
407,Tucker FiskLAC,TE,10,2,4,19,9.5,0,12,0,1.9,0,0,21,1
408,Colson YankoffWSH,TE,14,2,3,18,9,0,14,0,1.3,0,0,4,2
408,Dylan LaubeLV,RB,17,3,4,18,6,0,13,0,1.1,0,0,24,1
408,Tip ReimanARI,TE,4,3,5,18,6,0,10,0,4.5,0,0,7,1
411,Braelon AllenNYJ,RB,4,2,3,17,8.5,0,12,0,4.3,0,0,9,1
411,Zaire Mitchell-PadenBAL/NO,TE,8,2,3,17,8.5,0,14,0,2.1,0,0,5,1
413,Malik DavisDAL,RB,10,2,5,16,8,0,10,0,1.6,0,0,6,0
413,Will MalloryIND,TE,2,1,1,16,16,0,16,0,8,0,0,0,1
415,Tim JonesMIN/JAX,WR,4,1,1,15,15,0,15,0,3.8,0,0,11,1
415,Lucas KrullDEN,TE,3,2,4,15,7.5,0,9,0,5,0,0,4,0
415,George HolaniSEA,RB,11,2,2,15,7.5,0,11,0,1.4,0,0,16,1
415,Corey KinerARI,RB,4,2,3,15,7.5,0,11,0,3.8,0,0,6,1
415,Jakobie Keeney-JamesGB,WR,1,2,2,15,7.5,0,8,0,15,0,0,0,0
420,Ben YurosekMIN,TE,12,2,3,14,7,0,9,0,1.2,0,0,9,1
421,Hassan HaskinsLAC,RB,12,4,4,13,3.3,0,9,0,1.1,0,0,16,0
421,Trevor EtienneCAR,RB,17,3,3,13,4.3,0,7,0,0.8,0,0,11,1
423,Alex BachmanLV,WR,13,2,3,12,6,0,9,0,0.9,0,0,2,2
423,Scott MatlockLAC,FB,16,4,4,12,3,1,5,0,0.8,0,0,12,1
425,C.J. HamMIN,FB,11,2,2,11,5.5,0,6,0,1,0,0,9,1
425,Ty ChandlerMIN,RB,3,3,4,11,3.7,0,11,0,3.7,0,0,27,1
425,Sal CannellaCLE,TE,2,2,5,11,5.5,0,6,0,5.5,0,0,5,1
425,Payne DurhamTB,TE,17,1,4,11,11,0,11,0,0.6,0,0,11,1
